date,price
2016-08-01,10.086290322580645
2016-09-01,10.066806451612903
2016-10-01,9.814548387096774
2016-11-01,9.733225806451614
2016-12-01,9.609193548387097
2017-01-01,9.633870967741936
2017-02-01,9.841
2017-03-01,9.849483870967742
2017-04-01,9.853838709677419
2017-05-01,10.013032258064516
2017-06-01,10.312903225806451
2017-07-01,10.293483870967743
2017-08-01,10.260548387096774
2017-09-01,10.239064516129032
2017-10-01,10.000774193548386
2017-11-01,9.925096774193548
2017-12-01,9.780870967741937
2018-01-01,9.959774193548387
2018-02-01,10.06216129032258
2018-03-01,9.975161290322582
2018-04-01,9.953129032258063
2018-05-01,10.083806451612903
2018-06-01,10.343612903225806
2018-07-01,10.398838709677419
2018-08-01,10.319967741935484
2018-09-01,10.282548387096774
2018-10-01,10.134129032258064
2018-11-01,10.051870967741936
2018-12-01,9.938129032258065
2019-01-01,9.950612903225807
2019-02-01,10.136516129032259
2019-03-01,10.062806451612902
2019-04-01,10.150870967741936
2019-05-01,10.183387096774194
2019-06-01,10.415935483870967
2019-07-01,10.36025806451613
2019-08-01,10.357838709677418
2019-09-01,10.318935483870968
2019-10-01,10.091064516129032
2019-11-01,9.997354838709677
2019-12-01,9.801645161290322
2020-01-01,9.868322580645161
2020-02-01,9.96074193548387
2020-03-01,9.947741935483872
2020-04-01,10.102322580645161
2020-05-01,10.190774193548387
2020-06-01,10.37625806451613
2020-07-01,10.340193548387097
2020-08-01,10.42141935483871
2020-09-01,10.444516129032259
2020-10-01,10.177612903225807
2020-11-01,10.036032258064516
2020-12-01,9.863806451612904
2021-01-01,9.849354838709678
2021-02-01,10.420677419354838
2021-03-01,10.188387096774195
2021-04-01,10.292935483870968
2021-05-01,10.368645161290324
2021-06-01,10.654967741935483
2021-07-01,10.760709677419355
2021-08-01,10.780322580645162
2021-09-01,10.944258064516129
2021-10-01,10.770774193548387
2021-11-01,10.717645161290323
2021-12-01,10.590387096774194
2022-01-01,10.799612903225807
2022-02-01,10.993548387096775
2022-03-01,11.086774193548388
2022-04-01,11.294451612903227
2022-05-01,11.566612903225806
2022-06-01,12.124451612903226
2022-07-01,12.291741935483872
2022-08-01,12.584967741935484
2022-09-01,12.537354838709676
2022-10-01,12.161806451612902
2022-11-01,11.913096774193548
2022-12-01,11.963096774193549
2023-01-01,12.195967741935483
2023-02-01,12.32341935483871
2023-03-01,12.111161290322581
2023-04-01,12.005709677419354
2023-05-01,12.028774193548387
2023-06-01,12.310967741935483
2023-07-01,12.36951612903226
2023-08-01,12.464645161290322
2023-09-01,12.464806451612903
2023-10-01,12.31251612903226
2023-11-01,12.149709677419354
2023-12-01,12.050774193548389
2024-01-01,12.280193548387096
